account_id,currency,balance,client_id
1,UAH,4334,1
2,UAH,15702,2
3,EUR,16355,3
4,USD,22019,4
5,UAH,7307,5
6,USD,19423,6
7,USD,25764,7
8,USD,26697,8
9,UAH,29381,9
10,EUR,18192,10
11,UAH,22161,11
12,UAH,25283,12
13,UAH,28720,13
14,EUR,21192,14
15,EUR,19846,15
16,EUR,15352,16
17,EUR,14026,17
18,UAH,1636,18
19,USD,10206,19
20,EUR,19166,20
21,USD,22237,21
22,USD,19061,22
23,EUR,21398,23
24,UAH,2242,24
25,UAH,11983,25
26,UAH,17694,26
27,EUR,27027,27
28,UAH,3783,28
29,USD,14020,29
30,UAH,18166,30
31,USD,17298,31
32,USD,4218,32
33,USD,20740,33
34,UAH,11222,34
35,UAH,20458,35
36,UAH,20122,36
37,USD,3478,37
38,USD,10496,38
39,UAH,29879,39
40,EUR,12921,40
41,USD,109,41
42,EUR,19017,42
43,EUR,14206,43
44,EUR,13127,44
45,EUR,14654,45
46,EUR,3851,46
47,EUR,889,47
48,USD,21688,48
49,EUR,7737,49
50,EUR,183,50
51,UAH,6412,51
52,USD,-123,52
53,USD,1727,53
54,EUR,8081,54
55,UAH,7197,55
56,UAH,22645,56
57,EUR,14262,57
58,EUR,8958,58
59,EUR,8882,59
60,EUR,24859,60
61,UAH,15054,61
62,USD,11148,62
63,EUR,27786,63
64,USD,23985,64
65,UAH,15591,65
66,USD,27834,66
67,USD,5496,67
68,EUR,11067,68
69,UAH,10882,69
70,UAH,13651,70
71,UAH,8326,71
72,USD,7797,72
73,UAH,9987,73
74,EUR,-728,74
75,UAH,12286,75
76,USD,19984,76
77,USD,15291,77
78,EUR,17020,78
79,UAH,9388,79
80,EUR,9546,80
81,USD,5823,81
82,UAH,24893,82
83,UAH,20532,83
84,UAH,9228,84
85,USD,19245,85
86,UAH,24862,86
87,UAH,22420,87
88,USD,14623,88
89,UAH,984,89
90,USD,10233,90
91,EUR,8027,91
92,EUR,19164,92
93,UAH,9758,93
94,EUR,-212,94
95,EUR,20337,95
96,UAH,6734,96
97,USD,18707,97
98,USD,18593,98
99,USD,19617,99
100,EUR,15216,100
101,EUR,7213,101
102,USD,10377,102
103,EUR,16314,103
104,EUR,5928,104
105,EUR,27649,105
106,UAH,14829,106
107,UAH,10755,107
108,USD,21646,108
109,USD,18238,109
110,UAH,27764,110
111,USD,1093,111
112,EUR,19749,112
113,UAH,3028,113
114,USD,19668,114
115,USD,9130,115
116,EUR,19923,116
117,UAH,-286,117
118,EUR,14447,118
119,UAH,13966,119
120,UAH,4571,120
121,EUR,21687,121
122,EUR,2844,122
123,UAH,5701,123
124,USD,17443,124
125,EUR,9016,125
126,USD,20949,126
127,USD,4093,127
128,UAH,22577,128
129,USD,22843,129
130,UAH,17227,130
131,EUR,3585,131
132,UAH,14281,132
133,USD,18661,133
134,USD,15691,134
135,EUR,29280,135
136,EUR,16814,136
137,UAH,7076,137
138,UAH,14423,138
139,UAH,22186,139
140,EUR,20828,140
141,USD,16804,141
142,USD,562,142
143,USD,19079,143
144,EUR,23533,144
145,USD,11441,145
146,USD,20877,146
147,USD,5739,147
148,USD,26285,148
149,USD,11681,149
150,EUR,2489,150
151,EUR,10498,151
152,UAH,20835,152
153,UAH,8556,153
154,UAH,2899,154
155,EUR,25106,155
156,UAH,17976,156
157,USD,-973,157
158,UAH,11521,158
159,EUR,22570,159
160,EUR,6137,160
161,UAH,4719,161
162,EUR,3304,162
163,UAH,21340,163
164,UAH,14367,164
165,UAH,16180,165
166,EUR,24569,166
167,UAH,-952,167
168,EUR,8403,168
169,UAH,5894,169
170,EUR,2145,170
171,EUR,-814,171
172,USD,25502,172
173,EUR,5927,173
174,UAH,14288,174
175,USD,19864,175
176,UAH,16967,176
177,USD,5326,177
178,USD,8584,178
179,USD,20302,179
180,USD,1865,180
181,EUR,2485,181
182,EUR,25020,182
183,UAH,6840,183
184,EUR,20200,184
185,USD,16430,185
186,UAH,2112,186
187,EUR,2075,187
188,USD,14983,188
189,UAH,20878,189
190,USD,10972,190
191,EUR,14186,191
192,USD,1580,192
193,EUR,8439,193
194,UAH,14108,194
195,EUR,15577,195
196,EUR,20883,196
197,EUR,4672,197
198,UAH,2018,198
199,USD,3873,199
200,UAH,654,200
201,USD,17411,201
202,USD,10599,202
203,UAH,23238,203
204,EUR,7474,204
205,USD,18394,205
206,UAH,-853,206
207,USD,18754,207
208,USD,3596,208
209,UAH,29881,209
210,EUR,11634,210
211,EUR,4932,211
212,EUR,79,212
213,USD,16153,213
214,UAH,22500,214
215,UAH,8741,215
216,UAH,25103,216
217,USD,4313,217
218,EUR,8381,218
219,EUR,4668,219
220,EUR,16229,220
221,USD,10493,221
222,UAH,17478,222
223,EUR,7750,223
224,UAH,23878,224
225,EUR,15621,225
226,USD,21757,226
227,UAH,18835,227
228,UAH,6894,228
229,UAH,27892,229
230,EUR,23351,230
231,USD,12162,231
232,EUR,18012,232
233,UAH,14501,233
234,EUR,27902,234
235,USD,28938,235
236,UAH,1666,236
237,EUR,2213,237
238,USD,25738,238
239,UAH,29969,239
240,USD,14467,240
241,EUR,12522,241
242,EUR,1536,242
243,USD,28255,243
244,EUR,24928,244
245,EUR,3743,245
246,EUR,9762,246
247,UAH,3553,247
248,EUR,8337,248
249,USD,11162,249
250,USD,13035,250
251,UAH,22037,251
252,EUR,25941,252
253,UAH,25087,253
254,USD,376,254
255,UAH,13822,255
256,UAH,26658,256
257,USD,17546,257
258,EUR,1755,258
259,UAH,23887,259
260,EUR,7596,260
261,UAH,22279,261
262,UAH,2047,262
263,EUR,25361,263
264,UAH,13687,264
265,UAH,24560,265
266,EUR,21749,266
267,EUR,23852,267
268,EUR,20565,268
269,UAH,27775,269
270,USD,10291,270
271,USD,7396,271
272,USD,17598,272
273,UAH,3313,273
274,EUR,20487,274
275,USD,18709,275
276,EUR,12307,276
277,USD,11491,277
278,EUR,19292,278
279,EUR,3596,279
280,UAH,6786,280
281,USD,22886,281
282,USD,6922,282
283,EUR,26009,283
284,UAH,14495,284
285,EUR,12187,285
286,EUR,18747,286
287,UAH,27002,287
288,EUR,1492,288
289,USD,12483,289
290,USD,16765,290
291,UAH,18552,291
292,USD,23141,292
293,USD,17615,293
294,UAH,22639,294
295,UAH,20354,295
296,EUR,10276,296
297,UAH,16305,297
298,EUR,13030,298
299,UAH,2686,299
300,EUR,23716,300
301,EUR,13082,301
302,USD,29192,302
303,EUR,8829,303
304,EUR,5615,304
305,USD,19248,305
306,EUR,28601,306
307,UAH,18313,307
308,EUR,26046,308
309,EUR,16419,309
310,USD,15363,310
311,USD,22559,311
312,UAH,18886,312
313,EUR,28561,313
314,USD,2270,314
315,USD,27660,315
316,EUR,24202,316
317,UAH,16167,317
318,EUR,7790,318
319,EUR,4861,319
320,USD,21157,320
321,EUR,9818,321
322,EUR,22627,322
323,EUR,1184,323
324,UAH,19637,324
325,EUR,27349,325
326,EUR,-996,326
327,USD,10350,327
328,UAH,24651,328
329,UAH,13671,329
330,UAH,21243,330
331,EUR,3036,331
332,UAH,5193,332
333,USD,18530,333
334,EUR,24855,334
335,USD,3530,335
336,USD,5603,336
337,USD,17852,337
338,USD,29433,338
339,EUR,23120,339
340,EUR,18078,340
341,USD,23391,341
342,USD,18806,342
343,UAH,19095,343
344,EUR,14389,344
345,USD,1854,345
346,EUR,407,346
347,UAH,17789,347
348,UAH,-736,348
349,USD,22767,349
350,UAH,27882,350
351,EUR,5955,351
352,UAH,23820,352
353,UAH,17118,353
354,EUR,19621,354
355,EUR,13711,355
356,UAH,-4,356
357,EUR,12571,357
358,UAH,10221,358
359,USD,28621,359
360,UAH,6752,360
361,USD,6354,361
362,EUR,9050,362
363,EUR,-316,363
364,UAH,28328,364
365,USD,26433,365
366,USD,9197,366
367,UAH,4929,367
368,USD,18488,368
369,EUR,22391,369
370,UAH,19138,370
371,UAH,11431,371
372,UAH,15790,372
373,USD,17176,373
374,EUR,11228,374
375,USD,12444,375
376,UAH,3273,376
377,EUR,19801,377
378,UAH,19772,378
379,UAH,22072,379
380,USD,1028,380
381,EUR,13983,381
382,USD,21674,382
383,USD,21127,383
384,UAH,13746,384
385,USD,7536,385
386,EUR,21909,386
387,EUR,15599,387
388,UAH,2858,388
389,USD,13677,389
390,UAH,1427,390
391,EUR,3950,391
392,UAH,-538,392
393,UAH,2113,393
394,EUR,15470,394
395,UAH,9499,395
396,USD,26065,396
397,USD,24548,397
398,USD,24937,398
399,USD,24550,399
400,EUR,28194,400
401,UAH,23015,401
402,USD,19789,402
