fine_id,fine_amount,fine_reason,fine_date,loan_agreement_id
1,160,Non-compliance fee,2019-08-03,4
2,67,Late payment fee,2019-09-26,6
3,77,Non-compliance fee,2023-04-14,7
4,199,Late payment fee,2018-08-10,8
5,164,Non-compliance fee,2023-10-30,13
6,174,Late payment fee,2023-12-07,23
7,214,Late payment fee,2022-03-04,27
8,180,Non-compliance fee,2023-07-23,29
9,151,Non-compliance fee,2022-06-09,40
10,145,Late payment fee,2023-08-24,42
11,224,Late payment fee,2019-12-09,55
12,172,Late payment fee,2018-12-18,62
13,93,Late payment fee,2023-11-17,69
14,173,Late payment fee,2020-02-01,72
15,154,Late payment fee,2019-01-11,78
16,153,Non-compliance fee,2021-01-02,80
17,95,Non-compliance fee,2022-08-16,83
18,117,Non-compliance fee,2023-03-31,85
19,132,Late payment fee,2019-07-29,86
20,248,Late payment fee,2020-06-29,95
21,95,Non-compliance fee,2022-08-14,96
22,174,Non-compliance fee,2023-05-02,101
23,109,Non-compliance fee,2022-10-02,102
24,75,Late payment fee,2023-04-17,105
25,41,Non-compliance fee,2021-10-08,106
26,131,Non-compliance fee,2018-11-07,112
27,191,Late payment fee,2022-05-27,117
28,170,Non-compliance fee,2022-12-14,118
29,84,Late payment fee,2020-05-09,121
30,58,Non-compliance fee,2020-07-29,124
31,110,Non-compliance fee,2020-10-07,125
32,131,Non-compliance fee,2022-08-15,130
33,220,Late payment fee,2019-11-29,131
34,100,Non-compliance fee,2017-06-29,133
35,142,Non-compliance fee,2023-08-31,135
36,229,Late payment fee,2023-11-06,141
37,39,Non-compliance fee,2021-12-18,144
38,224,Late payment fee,2023-09-27,150
39,37,Non-compliance fee,2023-03-30,151
40,115,Non-compliance fee,2022-07-13,156
41,167,Late payment fee,2017-08-02,159
42,115,Non-compliance fee,2023-06-19,164
43,115,Non-compliance fee,2023-01-09,165
44,146,Non-compliance fee,2023-07-25,168
45,110,Non-compliance fee,2018-06-10,172
46,40,Non-compliance fee,2018-08-19,176
47,184,Late payment fee,2019-06-29,178
48,111,Late payment fee,2023-07-28,179
49,87,Late payment fee,2022-09-08,180
50,70,Non-compliance fee,2018-12-14,184
51,213,Late payment fee,2021-03-25,185
52,72,Non-compliance fee,2020-10-30,195
53,52,Late payment fee,2023-10-17,197
54,229,Late payment fee,2022-11-25,200
55,110,Non-compliance fee,2019-08-07,204
56,69,Late payment fee,2019-10-02,213
57,82,Non-compliance fee,2020-08-01,214
58,134,Non-compliance fee,2022-08-23,215
59,149,Late payment fee,2023-11-28,218
60,109,Non-compliance fee,2023-11-25,221
61,31,Non-compliance fee,2023-01-21,224
62,42,Non-compliance fee,2022-01-20,226
63,77,Late payment fee,2022-08-09,227
64,101,Non-compliance fee,2021-05-08,228
65,82,Non-compliance fee,2020-09-19,233
66,34,Non-compliance fee,2017-07-11,234
67,121,Late payment fee,2023-05-27,238
68,234,Late payment fee,2022-12-31,242
69,75,Non-compliance fee,2023-11-05,243
70,133,Non-compliance fee,2022-12-07,245
71,126,Late payment fee,2020-12-24,246
72,63,Non-compliance fee,2021-07-04,248
73,119,Late payment fee,2021-04-25,249
74,137,Late payment fee,2021-06-21,251
75,42,Non-compliance fee,2023-09-11,252
76,87,Late payment fee,2017-01-07,253
77,77,Non-compliance fee,2016-12-25,255
78,234,Late payment fee,2023-01-31,257
79,78,Non-compliance fee,2019-10-31,261
80,56,Non-compliance fee,2023-12-11,269
81,45,Non-compliance fee,2019-12-12,270
82,113,Late payment fee,2023-04-04,271
83,234,Late payment fee,2023-02-08,275
84,48,Non-compliance fee,2022-10-26,277
85,39,Non-compliance fee,2020-04-28,281
86,71,Late payment fee,2023-11-30,283
87,147,Non-compliance fee,2023-05-12,286
88,61,Non-compliance fee,2023-03-03,288
89,229,Late payment fee,2020-01-18,292
90,92,Non-compliance fee,2018-05-04,295
91,205,Late payment fee,2022-04-18,298
92,215,Late payment fee,2022-03-27,299
93,88,Non-compliance fee,2019-09-12,300
94,89,Non-compliance fee,2020-01-05,306
95,201,Late payment fee,2020-12-05,308
96,197,Late payment fee,2019-09-28,309
97,129,Late payment fee,2020-02-13,314
98,61,Late payment fee,2016-12-14,315
99,51,Late payment fee,2021-01-01,317
100,148,Non-compliance fee,2019-12-28,318
101,94,Non-compliance fee,2019-01-26,322
102,120,Late payment fee,2022-12-20,325
103,244,Late payment fee,2019-02-10,326
104,94,Late payment fee,2019-11-21,327
105,235,Late payment fee,2022-08-17,330
106,148,Non-compliance fee,2023-01-26,332
107,131,Non-compliance fee,2022-10-26,339
108,118,Non-compliance fee,2022-03-02,347
109,124,Non-compliance fee,2019-04-14,352
110,132,Late payment fee,2022-10-01,355
111,71,Late payment fee,2022-10-30,356
112,215,Late payment fee,2023-10-05,360
113,149,Non-compliance fee,2022-01-29,361
114,72,Non-compliance fee,2019-07-17,368
115,69,Late payment fee,2021-04-24,373
116,69,Non-compliance fee,2020-12-21,378
117,139,Late payment fee,2023-05-06,382
118,52,Late payment fee,2021-12-08,384
119,114,Non-compliance fee,2017-04-28,387
120,104,Late payment fee,2016-12-03,394
121,87,Late payment fee,2022-02-09,395
122,33,Non-compliance fee,2022-02-16,396
123,214,Late payment fee,2022-08-12,398
124,108,Late payment fee,2020-10-02,404
125,237,Late payment fee,2020-10-12,405
126,217,Late payment fee,2018-03-20,407
127,56,Non-compliance fee,2021-07-05,410
128,187,Late payment fee,2022-06-15,411
129,147,Non-compliance fee,2022-05-24,413
130,178,Non-compliance fee,2020-08-03,416
131,55,Non-compliance fee,2022-07-10,417
132,143,Non-compliance fee,2020-01-09,420
133,120,Late payment fee,2023-05-27,422
