loan_agreement_id,loan_amount,loan_issue_date,loan_repayment_date,account_id,type_of_loan_id
1,130640,2019-07-06,2022-07-17,1,1
2,49856,2021-07-11,2025-01-24,2,2
3,379,2017-02-09,2022-10-29,3,3
4,65110,2017-08-22,2019-07-28,4,4
5,122137,2022-12-17,2023-05-18,5,5
6,69162,2018-02-18,2019-09-16,6,6
7,110789,2020-08-07,2023-03-31,7,7
8,40070,2017-11-21,2018-07-29,8,8
9,97361,2018-01-13,2020-01-09,9,9
10,33333,2022-03-17,2024-11-04,10,10
11,126793,2023-03-25,2024-06-03,11,11
12,82101,2019-04-24,2020-05-08,12,12
13,78940,2020-12-06,2023-10-22,13,13
14,112809,2022-12-01,2023-03-20,14,14
15,141312,2016-12-29,2024-02-03,15,15
16,142846,2023-06-13,2024-08-27,16,16
17,146491,2024-05-22,2024-08-28,17,17
18,13273,2018-05-29,2024-12-01,18,18
19,71707,2024-10-13,2025-01-12,19,19
20,41357,2021-09-08,2023-12-30,20,20
21,133641,2019-03-31,2024-10-22,21,21
22,113783,2020-09-20,2021-11-08,22,22
23,59473,2023-05-25,2023-11-22,23,23
24,105882,2020-05-26,2024-03-28,24,24
25,50904,2017-01-07,2024-08-14,25,25
26,144651,2018-06-06,2019-06-18,26,26
27,116959,2020-02-16,2022-02-28,27,27
28,61259,2022-09-30,2022-12-20,28,28
29,89483,2023-03-02,2023-07-09,29,29
30,14634,2016-10-06,2019-06-23,30,30
31,129994,2021-08-25,2022-07-18,31,31
32,8264,2023-08-01,2025-02-16,32,32
33,79972,2021-01-31,2021-10-01,33,33
34,79301,2024-02-14,2025-01-11,34,34
35,53115,2021-09-27,2023-11-21,35,35
36,101908,2021-10-12,2023-12-08,36,36
37,59428,2017-02-23,2018-05-05,37,37
38,133367,2023-01-03,2024-10-22,38,38
39,4938,2018-09-01,2019-06-25,39,39
40,21157,2019-01-30,2022-06-02,40,40
41,39259,2023-06-26,2024-10-07,41,41
42,101435,2020-11-15,2023-08-07,42,42
43,123008,2016-07-05,2019-09-15,43,43
44,63788,2016-02-14,2016-06-08,44,44
45,1486,2017-12-22,2018-06-03,45,45
46,52479,2020-11-12,2022-11-20,46,46
47,62187,2020-05-30,2025-02-05,47,47
48,18035,2022-12-13,2024-03-15,48,48
49,28910,2022-06-18,2024-05-26,49,49
50,67017,2024-07-29,2024-09-13,50,50
51,62136,2018-10-29,2024-04-23,51,51
52,54837,2024-09-26,2024-11-22,52,52
53,109484,2021-03-04,2025-01-23,53,53
54,91620,2021-09-22,2023-10-14,54,54
55,119918,2017-07-04,2019-11-30,55,55
56,40352,2024-12-19,2025-01-23,56,56
57,87233,2024-02-26,2024-06-21,57,57
58,27927,2021-10-29,2024-02-14,58,58
59,113534,2019-07-27,2021-06-21,59,59
60,142450,2016-10-02,2018-11-17,60,60
61,132375,2023-12-26,2024-10-16,61,61
62,133587,2017-10-14,2018-12-06,62,62
63,140558,2022-06-13,2024-08-29,63,63
64,80667,2016-01-03,2016-06-06,64,64
65,59631,2021-12-05,2024-04-04,65,65
66,50192,2024-04-26,2025-02-13,66,66
67,82236,2020-05-09,2022-10-18,67,67
68,126380,2024-10-03,2024-11-05,68,68
69,63427,2018-09-29,2023-10-31,69,69
70,76164,2018-04-21,2024-11-09,70,70
71,127923,2018-08-04,2023-07-24,71,71
72,68159,2017-09-27,2020-01-18,72,72
73,30805,2016-02-20,2017-08-01,73,73
74,120826,2018-07-27,2018-11-02,74,74
75,24523,2021-08-29,2023-05-05,75,75
76,136237,2021-02-04,2022-11-28,76,76
77,82986,2019-08-30,2022-08-02,77,77
78,131235,2016-11-26,2018-12-31,78,78
79,63320,2020-12-06,2024-01-15,79,79
80,33717,2019-05-04,2020-12-22,80,80
81,102752,2024-07-23,2024-12-06,81,81
82,33246,2018-06-05,2022-10-10,82,82
83,99177,2020-12-13,2022-08-07,83,83
84,36815,2023-03-24,2023-09-03,84,84
85,133924,2021-03-21,2023-03-17,85,85
86,34436,2017-04-25,2019-07-18,86,86
87,125355,2019-05-29,2022-08-24,87,87
88,99339,2022-03-11,2022-07-10,88,88
89,147145,2021-12-02,2024-09-08,89,89
90,79484,2022-10-10,2024-12-06,90,90
91,78592,2021-05-17,2024-12-23,91,91
92,134247,2019-11-26,2021-02-04,92,92
93,11906,2016-12-11,2018-07-06,93,93
94,67239,2016-04-27,2017-12-31,94,94
95,49797,2019-06-04,2020-06-17,95,95
96,61302,2022-04-28,2022-08-03,96,96
97,2397,2020-10-01,2022-07-28,97,97
98,90643,2021-06-03,2025-01-13,98,98
99,31796,2018-07-04,2023-06-23,99,99
100,7468,2016-12-08,2021-09-04,100,100
101,47018,2018-10-08,2023-04-26,101,101
102,89187,2020-04-01,2022-09-23,102,102
103,24845,2017-05-02,2018-07-18,103,103
104,110853,2017-12-14,2019-12-31,104,104
