payment_id,payment_amount,payment_date,loan_agreement_id
1,2866.89,2022-04-17,1
2,3749.47,2023-01-23,2
3,217.06,2022-05-06,3
4,3630.21,2019-07-30,4
5,8621.45,2023-02-21,5
6,8257.32,2019-09-20,6
7,14870.85,2023-04-04,7
8,9901.39,2018-08-08,8
9,4219.95,2018-03-11,9
10,1275.77,2023-10-24,10
11,3932.03,2023-05-28,11
12,8379.76,2020-03-05,12
13,8500.13,2023-10-26,13
14,2915.26,2023-02-22,14
15,6070.28,2022-12-30,15
16,5752.88,2023-07-17,16
17,2348.62,2023-11-26,17
18,4402.51,2021-01-14,18
19,12964.79,2023-11-26,19
20,6531.97,2022-07-05,20
21,11377.3,2021-06-05,21
22,12634.2,2021-08-13,22
23,6523.87,2023-11-26,23
24,6147.09,2023-05-24,24
25,1258.78,2019-06-23,25
26,11401.89,2019-05-23,26
27,2723.24,2022-03-01,27
28,11954.27,2022-11-18,28
29,7795.03,2023-07-14,29
30,12054.42,2018-11-16,30
31,4382.33,2022-04-25,31
32,7278.63,2023-10-14,32
33,4488.75,2021-06-07,33
34,8525.22,2023-11-26,34
35,10327.09,2023-04-21,35
36,2061.86,2022-10-03,36
37,10379.93,2018-01-08,37
38,9983.69,2023-03-14,38
39,3471.4,2019-02-14,39
40,6736.15,2022-06-03,40
41,7795.71,2023-11-17,41
42,4932.71,2023-08-14,42
43,6834.47,2018-06-29,43
44,3968.23,2016-02-18,44
45,484.65,2018-05-07,45
46,7244.73,2021-03-24,46
47,981.17,2022-01-14,47
48,4684.3,2023-10-12,48
49,5080.67,2023-06-09,49
50,6359.7,2023-11-26,50
51,4826.72,2021-08-27,51
52,4119.41,2023-11-26,52
53,8777.86,2021-04-30,53
54,1097.44,2022-07-23,54
55,13366.85,2019-12-03,55
56,1929.48,2023-11-26,56
57,11026.1,2023-11-26,57
58,2791.67,2023-04-04,58
59,11181.76,2021-05-26,59
60,11833.18,2018-09-11,60
61,6144.42,2023-11-26,61
62,3326.71,2018-12-10,62
63,3413.06,2023-08-13,63
64,3251.45,2016-01-04,64
65,2689.53,2023-07-28,65
66,12264.71,2023-11-26,66
67,13803.64,2020-07-17,67
68,14513.06,2023-11-26,68
69,8692.05,2023-11-10,69
70,2792.63,2021-01-07,70
71,9452.77,2021-10-14,71
72,8159.84,2020-01-26,72
73,13367.15,2017-01-08,73
74,1487.05,2018-09-07,74
75,9953.52,2023-01-02,75
76,3937.97,2021-02-10,76
77,5697.01,2022-03-07,77
78,5299.43,2019-01-07,78
79,11185.75,2020-12-09,79
80,6162.73,2020-12-26,80
81,7250.15,2023-11-26,81
82,951.71,2021-09-23,82
83,6932.16,2022-08-14,83
84,10922.47,2023-07-07,84
85,7140.38,2023-03-23,85
86,8976.78,2019-07-27,86
87,13305.46,2021-12-25,87
88,6498.08,2022-05-24,88
89,13047.22,2022-11-12,89
90,6160.38,2023-01-16,90
91,8917.31,2022-04-08,91
92,5001.47,2020-03-31,92
93,11117.46,2018-03-16,93
94,5600.4,2017-12-20,94
95,11630.32,2020-06-20,95
96,7950.09,2022-08-09,96
97,1365.71,2021-11-19,97
