status_id,status,description,date_of_change,loan_agreement_id
1,closed,Loan successfully repaid,2022-04-17,1
2,active,Loan in good standing,2023-01-23,2
3,closed,Loan successfully repaid,2022-05-06,3
4,overdue,Payment overdue,2019-07-30,4
5,closed,Loan successfully repaid,2023-02-21,5
6,overdue,Payment overdue,2019-09-20,6
7,overdue,Payment overdue,2023-04-04,7
8,overdue,Payment overdue,2018-08-08,8
9,closed,Loan successfully repaid,2018-03-11,9
10,active,Loan in good standing,2023-10-24,10
11,active,Loan in good standing,2023-05-28,11
12,closed,Loan successfully repaid,2020-03-05,12
13,overdue,Payment overdue,2023-10-26,13
14,closed,Loan successfully repaid,2023-02-22,14
15,active,Loan in good standing,2022-12-30,15
16,active,Loan in good standing,2023-07-17,16
17,active,Loan in good standing,2023-11-26,17
18,active,Loan in good standing,2021-01-14,18
19,active,Loan in good standing,2023-11-26,19
20,active,Loan in good standing,2022-07-05,20
21,active,Loan in good standing,2021-06-05,21
22,closed,Loan successfully repaid,2021-08-13,22
23,overdue,Payment overdue,2023-11-26,23
24,active,Loan in good standing,2023-05-24,24
25,active,Loan in good standing,2019-06-23,25
26,closed,Loan successfully repaid,2019-05-23,26
27,overdue,Payment overdue,2022-03-01,27
28,closed,Loan successfully repaid,2022-11-18,28
29,overdue,Payment overdue,2023-07-14,29
30,closed,Loan successfully repaid,2018-11-16,30
31,closed,Loan successfully repaid,2022-04-25,31
32,active,Loan in good standing,2023-10-14,32
33,closed,Loan successfully repaid,2021-06-07,33
34,active,Loan in good standing,2023-11-26,34
35,closed,Loan successfully repaid,2023-04-21,35
36,active,Loan in good standing,2022-10-03,36
37,closed,Loan successfully repaid,2018-01-08,37
38,active,Loan in good standing,2023-03-14,38
39,closed,Loan successfully repaid,2019-02-14,39
40,overdue,Payment overdue,2022-06-03,40
41,active,Loan in good standing,2023-11-17,41
42,overdue,Payment overdue,2023-08-14,42
43,closed,Loan successfully repaid,2018-06-29,43
44,closed,Loan successfully repaid,2016-02-18,44
45,closed,Loan successfully repaid,2018-05-07,45
46,closed,Loan successfully repaid,2021-03-24,46
47,active,Loan in good standing,2022-01-14,47
48,active,Loan in good standing,2023-10-12,48
49,active,Loan in good standing,2023-06-09,49
50,active,Loan in good standing,2023-11-26,50
51,active,Loan in good standing,2021-08-27,51
52,active,Loan in good standing,2023-11-26,52
53,active,Loan in good standing,2021-04-30,53
54,closed,Loan successfully repaid,2022-07-23,54
55,overdue,Payment overdue,2019-12-03,55
56,active,Loan in good standing,2023-11-26,56
57,active,Loan in good standing,2023-11-26,57
58,active,Loan in good standing,2023-04-04,58
59,closed,Loan successfully repaid,2021-05-26,59
60,closed,Loan successfully repaid,2018-09-11,60
61,active,Loan in good standing,2023-11-26,61
62,overdue,Payment overdue,2018-12-10,62
63,active,Loan in good standing,2023-08-13,63
64,closed,Loan successfully repaid,2016-01-04,64
65,active,Loan in good standing,2023-07-28,65
66,active,Loan in good standing,2023-11-26,66
67,closed,Loan successfully repaid,2020-07-17,67
68,active,Loan in good standing,2023-11-26,68
69,overdue,Payment overdue,2023-11-10,69
70,active,Loan in good standing,2021-01-07,70
71,closed,Loan successfully repaid,2021-10-14,71
72,overdue,Payment overdue,2020-01-26,72
73,closed,Loan successfully repaid,2017-01-08,73
74,closed,Loan successfully repaid,2018-09-07,74
75,closed,Loan successfully repaid,2023-01-02,75
76,closed,Loan successfully repaid,2021-02-10,76
77,closed,Loan successfully repaid,2022-03-07,77
78,overdue,Payment overdue,2019-01-07,78
79,active,Loan in good standing,2020-12-09,79
80,overdue,Payment overdue,2020-12-26,80
81,active,Loan in good standing,2023-11-26,81
82,closed,Loan successfully repaid,2021-09-23,82
83,overdue,Payment overdue,2022-08-14,83
84,closed,Loan successfully repaid,2023-07-07,84
85,overdue,Payment overdue,2023-03-23,85
86,overdue,Payment overdue,2019-07-27,86
87,closed,Loan successfully repaid,2021-12-25,87
88,closed,Loan successfully repaid,2022-05-24,88
89,active,Loan in good standing,2022-11-12,89
90,active,Loan in good standing,2023-01-16,90
91,active,Loan in good standing,2022-04-08,91
92,closed,Loan successfully repaid,2020-03-31,92
93,closed,Loan successfully repaid,2018-03-16,93
94,closed,Loan successfully repaid,2017-12-20,94
95,overdue,Payment overdue,2020-06-20,95
96,overdue,Payment overdue,2022-08-09,96
97,closed,Loan successfully repaid,2021-11-19,97
98,active,Loan in good standing,2023-11-01,98
99,closed,Loan successfully repaid,2020-08-01,99
100,closed,Loan successfully repaid,2020-06-10,100
101,overdue,Payment overdue,2023-04-30,101
102,overdue,Payment overdue,2022-09-30,102
103,closed,Loan successfully repaid,2017-05-06,103
104,closed,Loan successfully repaid,2019-06-09,104
105,overdue,Payment overdue,2023-04-09,105
106,overdue,Payment overdue,2021-10-02,106
107,closed,Loan successfully repaid,2022-10-12,107
108,active,Loan in good standing,2022-03-15,108
109,active,Loan in good standing,2023-11-26,109
110,active,Loan in good standing,2023-05-25,110
111,closed,Loan successfully repaid,2021-06-03,111
112,overdue,Payment overdue,2018-11-01,112
113,closed,Loan successfully repaid,2017-01-23,113
114,active,Loan in good standing,2023-11-26,114
115,active,Loan in good standing,2019-10-20,115
116,closed,Loan successfully repaid,2023-05-09,116
117,overdue,Payment overdue,2022-05-18,117
118,overdue,Payment overdue,2022-12-11,118
119,active,Loan in good standing,2023-01-29,119
120,active,Loan in good standing,2023-11-26,120
121,overdue,Payment overdue,2020-04-30,121
122,active,Loan in good standing,2023-08-01,122
123,closed,Loan successfully repaid,2019-04-14,123
124,overdue,Payment overdue,2020-07-20,124
125,overdue,Payment overdue,2020-10-04,125
126,closed,Loan successfully repaid,2020-11-15,126
127,active,Loan in good standing,2023-11-26,127
128,active,Loan in good standing,2023-11-26,128
129,active,Loan in good standing,2023-11-26,129
130,overdue,Payment overdue,2022-08-11,130
131,overdue,Payment overdue,2019-11-20,131
132,active,Loan in good standing,2022-06-23,132
133,overdue,Payment overdue,2017-06-24,133
134,closed,Loan successfully repaid,2016-11-28,134
135,overdue,Payment overdue,2023-08-28,135
136,active,Loan in good standing,2023-11-26,136
137,active,Loan in good standing,2023-11-26,137
138,closed,Loan successfully repaid,2021-05-25,138
139,active,Loan in good standing,2023-11-26,139
140,closed,Loan successfully repaid,2022-05-26,140
141,overdue,Payment overdue,2023-10-31,141
142,closed,Loan successfully repaid,2018-12-13,142
143,closed,Loan successfully repaid,2020-10-20,143
144,overdue,Payment overdue,2021-12-13,144
145,closed,Loan successfully repaid,2023-05-26,145
146,closed,Loan successfully repaid,2018-03-25,146
147,active,Loan in good standing,2023-11-26,147
148,active,Loan in good standing,2020-05-03,148
149,closed,Loan successfully repaid,2017-02-26,149
150,overdue,Payment overdue,2023-09-24,150
151,overdue,Payment overdue,2023-03-27,151
152,active,Loan in good standing,2023-11-26,152
153,active,Loan in good standing,2023-02-02,153
154,active,Loan in good standing,2023-09-27,154
155,closed,Loan successfully repaid,2020-04-14,155
156,overdue,Payment overdue,2022-07-05,156
157,active,Loan in good standing,2022-12-02,157
158,active,Loan in good standing,2019-12-28,158
159,overdue,Payment overdue,2017-07-24,159
160,closed,Loan successfully repaid,2016-10-23,160
161,active,Loan in good standing,2023-10-19,161
162,closed,Loan successfully repaid,2022-05-02,162
163,closed,Loan successfully repaid,2021-08-24,163
164,overdue,Payment overdue,2023-06-13,164
165,overdue,Payment overdue,2023-01-07,165
166,closed,Loan successfully repaid,2020-12-10,166
167,active,Loan in good standing,2018-09-29,167
168,overdue,Payment overdue,2023-07-21,168
169,closed,Loan successfully repaid,2017-07-08,169
170,active,Loan in good standing,2020-06-25,170
171,active,Loan in good standing,2023-07-22,171
