type_of_loan_id,name,interest_rate,payment_term
1,Home equity,3.9,345
2,Personal,3.89,356
3,Student,8.06,748
4,Payday,7.3,900
5,Personal,8.76,251
6,Mortgage,3.4,272
7,Personal,9.2,667
8,Student,6.53,150
9,Payday,8.73,541
10,Credit-builder,9.6,215
11,Home equity,8.25,739
12,Credit-builder,7.41,475
13,Student,5.57,883
14,Mortgage,4.36,487
15,Payday,5.13,711
16,Debt consolidation,4.53,424
17,Student,8.72,467
18,Mortgage,4.64,172
19,Debt consolidation,7.15,791
20,Business,8.8,632
21,Debt consolidation,5.36,595
22,Student,5.59,582
23,Personal,4.36,644
24,Personal,9.42,203
25,Auto,5.59,76
26,Mortgage,7.46,137
27,Home equity,6.98,357
28,Student,4.72,365
29,Mortgage,9.62,646
30,Debt consolidation,8.59,693
31,Home equity,9.08,264
32,Mortgage,4.81,200
33,Payday,6.47,326
34,Debt consolidation,3.65,524
35,Credit-builder,7.24,71
36,Mortgage,4.41,975
37,Mortgage,9.62,563
38,Payday,9.48,962
39,Debt consolidation,6.53,1021
40,Home equity,9.4,977
41,Debt consolidation,5.19,133
42,Business,6.43,17
43,Debt consolidation,9.17,258
44,Mortgage,7.64,972
45,Home equity,6.1,620
46,Personal,4.92,1083
47,Auto,5.2,1043
48,Personal,7.1,410
49,Home equity,6.71,743
50,Business,8.56,665
51,Mortgage,7.78,587
52,Credit-builder,8.02,891
53,Payday,6.26,756
54,Credit-builder,4.55,469
55,Mortgage,4.62,1040
56,Personal,6.52,351
57,Home equity,7.96,124
58,Mortgage,6.36,901
59,Payday,6.03,740
60,Home equity,6.22,902
61,Student,9.54,142
62,Personal,7.8,226
63,Mortgage,5.72,1040
64,Payday,3.77,500
65,Auto,4.33,915
66,Business,9.53,402
67,Credit-builder,9.24,457
68,Home equity,5.27,493
69,Debt consolidation,8.34,540
70,Personal,8.98,459
71,Auto,4.18,822
72,Student,5.16,769
73,Auto,6.58,914
74,Auto,9.05,938
75,Payday,6.48,764
76,Home equity,6.49,327
77,Debt consolidation,7.36,1053
78,Student,8.97,717
79,Student,5.01,191
80,Payday,6.68,72
81,Debt consolidation,5.83,338
82,Debt consolidation,8.34,590
83,Payday,7.49,168
84,Personal,5.86,66
85,Credit-builder,5.21,693
86,Student,6.38,316
87,Debt consolidation,4.67,560
88,Business,3.56,897
89,Mortgage,5.38,250
90,Mortgage,4.48,105
91,Home equity,5.91,382
92,Student,4.24,952
93,Debt consolidation,8.82,769
94,Mortgage,6.72,456
95,Mortgage,8.54,343
96,Personal,4.89,905
97,Debt consolidation,8.16,60
98,Credit-builder,5.49,77
99,Debt consolidation,7.16,339
100,Payday,4.38,302
101,Auto,4.7,617
102,Student,7.54,774
103,Auto,7.75,21
104,Home equity,5.68,835
105,Business,3.46,664
106,Personal,7.29,938
107,Payday,3.96,724
108,Auto,4.36,824
109,Credit-builder,6.35,905
110,Student,7.32,1038
111,Home equity,9.55,1038
112,Home equity,5.59,563
113,Mortgage,6.83,507
114,Business,8.22,32
115,Student,8.33,779
116,Home equity,6.38,325
117,Business,4.18,921
118,Debt consolidation,7.73,493
119,Debt consolidation,8.61,978
120,Payday,4.37,818
121,Payday,4.12,484
122,Student,4.83,565
123,Personal,4.07,377
124,Mortgage,6.74,581
